"Snow_Course_Name","Number","Elevation_metres","Date_of_Survey","Snow_Depth_cm","Water_Equiv_mm","Survey_Code","percent_Normal","Density_pecent","Survey_Period","Normal_mm"
"CHAPMAN LAKE","4B04",1485,"3/26/2013",125,404,NA,88,32,"April_1",457
"MCKENDRICK CREEK","4B07",1048,"3/26/2013",91,265,NA,98,29,"April_1",271
"MOUNT CRONIN","4B08",1491,"3/26/2013",147,512,NA,90,35,"April_1",570
"KAZA LAKE","1A12",1247,"3/27/2013",110,346,NA,101,31,"April_1",341
"HIGHLAND VALLEY","1C09A",1457,"3/27/2013",47,128,NA,154,27,"April_1",83
"HORSEFLY MOUNTAIN","1C13A",1612,"3/27/2013",151,584,NA,125,39,"April_1",466
"GNAWED MOUNTAIN","1C19",1617,"3/27/2013",57,146,NA,138,26,"April_1",106
"SHOVELNOSE MOUNTAIN","1C29",1456,"3/27/2013",63,237,NA,107,38,"April_1",222
"GRANITE MOUNTAIN","1C33A",1175,"3/27/2013",64,205,NA,109,32,"April_1",188
"STAVE LAKE","1D08",1211,"3/27/2013",353,1615,NA,112,46,"April_1",1448
"WAHLEACH LAKE","1D09",1395,"3/27/2013",194,779,NA,132,40,"April_1",588
"NAHATLATCH RIVER","1D10",1530,"3/27/2013",323,1351,NA,104,42,"April_1",1296
"DICKSON LAKE","1D16",1147,"3/27/2013",421,2106,NA,141,50,"April_1",1497
"BLUE RIVER","1E01B",673,"3/27/2013",82,300,NA,110,37,"April_1",272
"BEAVERFOOT","2A11",1924,"3/27/2013",69,196,NA,103,28,"April_1",191
"FIDELITY MOUNTAIN","2A17",1852,"3/27/2013",321,1269,NA,105,40,"April_1",1210
"VERMONT CREEK","2A19",1533,"3/27/2013",125,425,NA,107,34,"April_1",397
"FLOE LAKE","2C14",2087,"3/27/2013",223,899,NA,122,40,"April_1",734
"MOUNT ASSINIBOINE","2C15",2230,"3/27/2013",172,592,NA,115,34,"April_1",514
"MOUNT JOFFRE","2C16",1763,"3/27/2013",129,428,NA,123,33,"April_1",349
"THUNDER CREEK","2C17",2062,"3/27/2013",124,377,NA,146,30,"April_1",259
"MOUNT TEMPLEMAN","2D09",1879,"3/27/2013",281,1086,NA,107,39,"April_1",1013
"TROUT CREEK","2F01",1428,"3/27/2013",66,206,NA,128,31,"April_1",161
"TROUT CREEK (WEST)","2F01A",1430,"3/27/2013",67,210,NA,107,31,"April_1",196
"MOUNT KOBAU","2F12",1817,"3/27/2013",127,496,NA,163,39,"April_1",304
"BRENDA MINE","2F18",1453,"3/27/2013",83,253,NA,91,30,"April_1",277
"VASEUX CREEK","2F20",1403,"3/27/2013",41,104,NA,79,25,"April_1",132
"MACDONALD LAKE","2F23",1742,"3/27/2013",128,428,NA,100,33,"April_1",428
"POWELL RIVER (UPPER)","3A02",1002,"3/27/2013",196,888,NA,92,45,"April_1",969
"POWELL RIVER (LOWER)","3A05",882,"3/27/2013",268,1138,NA,175,42,"April_1",651
"MOUNT COKELY","3B02A",1267,"3/27/2013",227,1086,NA,131,48,"April_1",831
"SUMALLO RIVER WEST","3D01C",801,"3/27/2013",69,239,NA,125,35,"April_1",191
"KLESILKWA","3D03A",1134,"3/27/2013",87,303,NA,131,35,"April_1",231
"GERMANSEN (UPPER)","4A05",1489,"3/27/2013",114,326,NA,94,29,"April_1",348
"TUTIZZI LAKE","4A06",1043,"3/27/2013",86,231,"A",89,27,"April_1",259
"FREDRICKSON LAKE","4A10",1323,"3/27/2013",84,221,NA,89,26,"April_1",247
"TRYGVE LAKE","4A11",1409,"3/27/2013",111,328,NA,89,30,"April_1",370
"TSAYDAYCHI LAKE","4A12",1173,"3/27/2013",117,363,NA,91,31,"April_1",398
"PHILIP LAKE","4A13",1013,"3/27/2013",109,322,NA,115,30,"April_1",279
"JOHANSON LAKE","4B02",1480,"3/27/2013",96,272,NA,90,28,"April_1",301
"TACHEK CREEK","4B06",1133,"3/27/2013",86,242,NA,109,28,"April_1",223
"NINGUNSAW PASS","4B10",647,"3/27/2013",108,324,NA,75,30,"April_1",434
"EQUITY MINE","4B14",1434,"3/27/2013",111,332,NA,86,30,"April_1",385
"LU LAKE","4B15",1296,"3/27/2013",93,272,NA,93,29,"April_1",291
"TELEGRAPH CREEK","4D01",490,"3/27/2013",49,121,NA,83,25,"April_1",146
"ISKUT","4D02",931,"3/27/2013",44,94,NA,96,21,"April_1",98
"MONASHEE PASS","2E01",1387,"3/28/2013",88,291,NA,90,33,"April_1",324
"BLUEJOINT MOUNTAIN","2E06",1990,"3/28/2013",201,736,NA,104,37,"April_1",706
"BIRD CREEK","1A23",1196,"3/28/2013",63,168,NA,120,27,"April_1",140
"MOUNT WELLS","1B01",1489,"3/28/2013",118,409,NA,83,35,"April_1",490
"TAHTSA LAKE","1B02",1319,"3/28/2013",226,920,NA,77,41,"April_1",1202
"SKINS LAKE","1B05",877,"3/28/2013",38,100,NA,111,26,"April_1",90
"MOUNT SWANNELL","1B06",1596,"3/28/2013",94,269,NA,95,29,"April_1",282
"NUTLI LAKE","1B07",1502,"3/28/2013",103,316,NA,61,31,"April_1",518
"MOUNT TIMOTHY","1C17",1632,"3/28/2013",115,364,NA,123,32,"April_1",296
"LAC LE JEUNE (UPPER)","1C25",1471,"3/28/2013",56,174,NA,137,31,"April_1",127
"FARRON","2B02A",1229,"3/28/2013",78,258,NA,86,33,"April_1",300
"WHATSHAN (UPPER)","2B05",1476,"3/28/2013",156,524,NA,82,34,"April_1",638
"BARNES CREEK","2B06",1598,"3/28/2013",132,473,NA,95,36,"April_1",497
"KOCH CREEK","2B07",1813,"3/28/2013",206,748,NA,104,36,"April_1",722
"ST. LEON CREEK","2B08",1828,"3/28/2013",312,1227,NA,102,39,"April_1",1200
"FERGUSON","2D02",929,"3/28/2013",134,498,NA,91,37,"April_1",550
"NELSON","2D04",952,"3/28/2013",62,210,NA,63,34,"April_1",334
"SUMMERLAND RESERVOIR","2F02",1304,"3/28/2013",68,224,NA,114,33,"April_1",197
"MCCULLOCH","2F03",1266,"3/28/2013",53,165,NA,125,31,"April_1",132
"POSTILL LAKE","2F07",1358,"3/28/2013",63,190,NA,94,30,"April_1",202
"ISINTOK LAKE","2F11",1651,"3/28/2013",57,176,NA,119,31,"April_1",148
"OYAMA LAKE","2F19",1365,"3/28/2013",47,136,NA,88,29,"April_1",154
"POSTILL LAKE (UPPER)","2F25",1500,"3/28/2013",75,231,NA,NA,31,"April_1",NA
"GROUSE MOUNTAIN","3A01",1126,"3/28/2013",337,1650,NA,142,49,"April_1",1160
"WARE (UPPER)","4A03",1563,"3/28/2013",102,266,NA,103,26,"April_1",258
"WARE (LOWER)","4A04",969,"3/28/2013",77,190,NA,98,25,"April_1",194
"LADY LAURIER LAKE","4A07",1446,"3/28/2013",136,414,NA,78,30,"April_1",529
"PULPIT LAKE","4A09",1331,"3/28/2013",139,439,NA,103,32,"April_1",425
"MOUNT STEARNS","4A21",1514,"3/28/2013",68,151,"A",103,22,"April_1",147
"KIDPRICE LAKE","4B01",1415,"3/28/2013",170,694,NA,75,41,"April_1",931
"BEAR PASS","4B11A",437,"3/28/2013",142,544,NA,85,38,"April_1",642
"SIKANNI LAKE","4C01",1390,"3/28/2013",91,231,NA,84,25,"April_1",276
"FORT NELSON AIRPORT","4C05",368,"3/28/2013",67,108,NA,115,16,"April_1",94
"ADAMS RIVER","1E07",1769,"3/29/2013",196,769,NA,114,39,"April_1",673
"CAVERHILL LAKE NEW","1C42",NA,"3/29/2013",87,276,NA,NA,32,"April_1",NA
"ANGLEMONT","1F02",1168,"3/29/2013",87,334,NA,104,38,"April_1",321
"SULLIVAN MINE","2C04",1580,"3/29/2013",80,242,NA,89,30,"April_1",272
"SILVER STAR MOUNTAIN","2F10",1834,"3/29/2013",205,854,NA,118,42,"April_1",723
"LIGHTNING LAKE","3D02",1254,"3/29/2013",84,276,NA,99,33,"April_1",278
"JADE CITY","4C15",943,"3/29/2013",86,238,NA,100,28,"April_1",238
"PUNTZI MOUNTAIN","1C22",939,"3/30/2013",12,40,NA,211,33,"April_1",19
"TROPHY MOUNTAIN","1E03A",1907,"3/30/2013",159,568,NA,106,36,"April_1",537
"WATAM LAKE","2A20",1810,"3/30/2013",155,660,NA,NA,43,"April_1",NA
"HAMILTON HILL","2G06",1477,"3/30/2013",62,213,NA,73,34,"April_1",291
"CALLAGHAN CREEK","3A20",1009,"3/30/2013",160,882,NA,108,55,"April_1",820
"BROOKMERE","1C01",994,"3/31/2013",46,143,NA,84,31,"April_1",171
"BIG CREEK","1C21",1130,"3/31/2013",2,6,"T",43,30,"April_1",14
"RECORD MOUNTAIN","2B09",1906,"3/31/2013",200,780,NA,110,39,"April_1",708
"FERNIE EAST","2C07",1213,"3/31/2013",68,246,NA,86,36,"April_1",286
"SANDON","2D03",1072,"3/31/2013",78,249,NA,75,32,"April_1",330
"WHITEROCKS MOUNTAIN","2F09",1789,"3/31/2013",157,601,NA,115,38,"April_1",521
"ESPERON CR (UPPER)","2F13",1634,"3/31/2013",115,410,NA,107,36,"April_1",383
"ESPERON CR (MIDDLE)","2F14",1440,"3/31/2013",94,342,NA,104,36,"April_1",328
"BOULEAU LAKE","2F21",1405,"3/31/2013",97,324,NA,106,33,"April_1",306
"LOST HORSE MOUNTAIN","2G04",1988,"3/31/2013",84,248,NA,115,30,"April_1",216
"MISSEZULA MOUNTAIN","2G05",1602,"3/31/2013",62,166,NA,84,27,"April_1",197
"DEASE LAKE","4C03",805,"3/31/2013",67,160,NA,121,24,"April_1",132
"KNOUFF LAKE","1E05",1189,"4/1/2013",58,174,NA,130,30,"April_1",134
"PAVILION","1C06",1209,"4/1/2013",0,0,"T",0,NA,"April_1",22
"DUFFEY LAKE","1C28",1253,"4/1/2013",122,536,NA,112,44,"April_1",480
"DEADMAN RIVER","1C32",1463,"4/1/2013",37,120,NA,115,32,"April_1",104
"BRALORNE (UPPER)","1C37",1980,"4/1/2013",NA,NA,"N",NA,NA,"April_1",NA
"CHAR CREEK","2D06",1290,"4/1/2013",123,445,NA,85,36,"April_1",525
"DUNCAN LAKE NO. 2","2D07A",662,"4/1/2013",0,0,NA,0,NA,"April_1",83
"SUMMIT LAKE","4C02",1291,"4/1/2013",32,75,NA,66,23,"April_1",113
"ATLIN LAKE","4E02B",NA,"4/1/2013",44,104,NA,NA,24,"April_1",NA
"BIG WHITE MOUNTAIN","2E03",1672,"4/2/2013",125,450,NA,95,36,"April_1",476
"PRINCE GEORGE AIRPORT","1A10",684,"4/2/2013",62,175,NA,179,28,"April_1",98
"FIELD","2A03A",1310,"4/2/2013",28,71,NA,52,25,"April_1",137
"KICKING HORSE","2A07",1648,"4/2/2013",90,280,NA,88,31,"April_1",317
"BURNS LAKE","1A16",820,"4/3/2013",56,112,NA,94,20,"April_1",119
"PENFOLD CREEK","1C23",1687,"4/3/2013",256,1055,NA,108,41,"April_1",979
"SINCLAIR PASS","2C01",1374,"4/3/2013",27,73,NA,67,27,"April_1",109
"FORBIDDEN PLATEAU","3B01",1110,"4/3/2013",319,1529,NA,103,48,"April_1",1485
"ELK RIVER","3B04",270,"4/3/2013",0,0,NA,0,NA,"April_1",34
"UPPER THELWOOD LAKE","3B10",1014,"4/3/2013",344,1634,NA,112,48,"April_1",1455
"WOLF RIVER (MIDDLE)","3B18",1050,"4/3/2013",157,640,NA,104,41,"April_1",618
"WOLF RIVER (LOWER)","3B19",615,"4/3/2013",68,326,NA,103,48,"April_1",315
"FORT ST. JOHN AIRPORT","4A25",692,"4/3/2013",56,154,NA,159,28,"April_1",97
"NAZKO","1C08",1029,"4/4/2013",7,23,NA,50,33,"April_1",46
"ENDERBY","1F04",1948,"4/4/2013",277,1171,NA,117,42,"April_1",1002
"ISLAHT LAKE","2F24",1492,"4/4/2013",80,259,NA,84,32,"April_1",309
"CARMI","2E02",1254,"4/5/2013",20,72,NA,63,36,"April_1",115
"ABERDEEN LAKE","1F01A",1262,"4/23/2013",19,88,NA,463,46,"May_1",19
"MOUNT COKELY","3B02A",1267,"4/24/2013",187,918,NA,113,49,"May_1",813
"MCGILLIVRAY PASS","1C05",1715,"4/25/2013",115,488,NA,85,42,"May_1",573
"BRALORNE","1C14",1382,"4/25/2013",25,84,NA,145,34,"May_1",58
"BRALORNE (UPPER)","1C37",1980,"4/25/2013",149,572,NA,85,38,"May_1",676
"DOWNTOWN LAKE (UPPER)","1C38",1884,"4/25/2013",179,726,NA,85,41,"May_1",856
"BRIDGE GLACIER (LOWER)","1C39",1393,"4/25/2013",115,470,NA,78,41,"May_1",600
"TYAUGHTON CREEK (NORTH)","1C40",1946,"4/25/2013",111,396,NA,89,36,"May_1",443
"STAVE LAKE","1D08",1211,"4/25/2013",315,1631,NA,108,52,"May_1",1513
"WAHLEACH LAKE","1D09",1395,"4/25/2013",187,801,NA,130,43,"May_1",615
"NAHATLATCH RIVER","1D10",1530,"4/25/2013",316,1570,NA,115,50,"May_1",1361
"DICKSON LAKE","1D16",1147,"4/25/2013",401,2132,NA,137,53,"May_1",1553
"GOLDSTREAM","2A16",1914,"4/25/2013",303,1358,NA,113,45,"May_1",1200
"FIDELITY MOUNTAIN","2A17",1852,"4/25/2013",310,1399,NA,107,45,"May_1",1306
"KEYSTONE CREEK","2A18",1839,"4/25/2013",207,911,NA,111,44,"May_1",823
"SUNBEAM LAKE","2A22",2066,"4/25/2013",235,1022,NA,109,43,"May_1",939
"BUSH RIVER","2A23",1982,"4/25/2013",212,928,NA,111,44,"May_1",834
"KIRBYVILLE LAKE","2A25",1739,"4/25/2013",320,1498,NA,121,47,"May_1",1243
"DOWNIE SLIDE (LOWER)","2A27",964,"4/25/2013",115,568,NA,110,49,"May_1",517
"DOWNIE SLIDE (UPPER)","2A29",1628,"4/25/2013",351,1598,NA,114,46,"May_1",1402
"GROUSE MOUNTAIN","3A01",1126,"4/25/2013",309,1650,NA,141,53,"May_1",1170
"DOG MOUNTAIN","3A10",1007,"4/25/2013",271,1530,NA,135,56,"May_1",1137
"SUMALLO RIVER WEST","3D01C",801,"4/25/2013",24,98,NA,148,41,"May_1",66
"KLESILKWA","3D03A",1134,"4/25/2013",36,155,NA,150,43,"May_1",103
"MOUNT TIMOTHY","1C17",1632,"4/26/2013",92,299,NA,116,33,"May_1",257
"GLACIER","2A02",1249,"4/26/2013",134,653,NA,102,49,"May_1",643
"BEAVERFOOT","2A11",1924,"4/26/2013",60,162,NA,95,27,"May_1",170
"VERMONT CREEK","2A19",1533,"4/26/2013",92,392,NA,120,43,"May_1",327
"FLOE LAKE","2C14",2087,"4/26/2013",227,971,NA,121,43,"May_1",800
"MOUNT ASSINIBOINE","2C15",2230,"4/26/2013",172,639,NA,113,37,"May_1",566
"MOUNT JOFFRE","2C16",1763,"4/26/2013",122,450,NA,130,37,"May_1",346
"THUNDER CREEK","2C17",2062,"4/26/2013",114,379,NA,140,33,"May_1",271
"GRAY CREEK (LOWER)","2D05",1558,"4/26/2013",117,449,NA,105,38,"May_1",429
"MOUNT TEMPLEMAN","2D09",1879,"4/26/2013",266,1166,NA,108,44,"May_1",1075
"GRAY CREEK (UPPER)","2D10",1926,"4/26/2013",213,923,NA,120,43,"May_1",767
"WHITEROCKS MOUNTAIN","2F09",1789,"4/26/2013",155,633,NA,135,41,"May_1",470
"ESPERON CR (UPPER)","2F13",1634,"4/26/2013",117,430,NA,124,37,"May_1",346
"BRENDA MINE","2F18",1453,"4/26/2013",56,216,NA,110,39,"May_1",197
"MACDONALD LAKE","2F23",1742,"4/26/2013",133,412,NA,98,31,"May_1",421
"HEATHER MOUNTAIN","3B13",1170,"4/26/2013",179,918,NA,136,51,"May_1",674
"TACHEK CREEK","4B06",1133,"4/26/2013",74,225,NA,129,30,"May_1",175
"ADAMS RIVER","1E07",1769,"4/27/2013",192,843,NA,116,44,"May_1",726
"TROPHY MOUNTAIN","1E03A",1907,"4/27/2013",185,710,NA,117,38,"May_1",607
"SULLIVAN MINE","2C04",1580,"4/27/2013",61,220,NA,121,36,"May_1",182
"BOULEAU LAKE","2F21",1405,"4/27/2013",73,322,NA,128,44,"May_1",251
"DEASE LAKE","4C03",805,"4/27/2013",52,147,NA,387,28,"May_1",38
"BIG WHITE MOUNTAIN","2E03",1672,"4/28/2013",132,514,NA,114,39,"May_1",451
"HORSEFLY MOUNTAIN","1C13A",1612,"4/28/2013",144,650,NA,159,45,"May_1",408
"BLUE RIVER","1E01B",673,"4/28/2013",31,133,NA,459,43,"May_1",29
"ANGLEMONT","1F02",1168,"4/28/2013",41,176,NA,110,43,"May_1",160
"SILVER STAR MOUNTAIN","2F10",1834,"4/28/2013",217,983,NA,134,45,"May_1",734
"MOUNT KOBAU","2F12",1817,"4/28/2013",128,509,NA,165,40,"May_1",309
"NINGUNSAW PASS","4B10",647,"4/28/2013",70,240,NA,91,34,"May_1",263
"JADE CITY","4C15",943,"4/28/2013",123,296,NA,157,24,"May_1",189
"CARMI","2E02",1254,"4/29/2013",0,0,"T",0,NA,"May_1",12
"LONGWORTH (UPPER)","1A05",1693,"4/29/2013",321,1370,NA,165,43,"May_1",830
"PACIFIC LAKE","1A11",756,"4/29/2013",NA,NA,"N",NA,NA,"May_1",NA
"HEDRICK LAKE","1A14",1113,"4/29/2013",247,1108,NA,172,45,"May_1",645
"KNUDSEN LAKE","1A15",1598,"4/29/2013",261,1076,NA,124,41,"May_1",868
"LAC LE JEUNE (UPPER)","1C25",1471,"4/29/2013",24,74,NA,247,31,"May_1",30
"MOUNT ABBOT","2A14",2031,"4/29/2013",317,1384,NA,103,44,"May_1",1345
"NELSON","2D04",952,"4/29/2013",1,4,"T",3,40,"May_1",143
"TROUT CREEK","2F01",1428,"4/29/2013",34,116,NA,207,34,"May_1",56
"TROUT CREEK (WEST)","2F01A",1430,"4/29/2013",37,124,NA,111,34,"May_1",112
"HAMILTON HILL","2G06",1477,"4/29/2013",54,162,NA,85,30,"May_1",190
"CALLAGHAN CREEK","3A20",1009,"4/29/2013",143,690,NA,97,48,"May_1",711
"PINE PASS","4A02",1439,"4/29/2013",286,1238,NA,96,43,"May_1",1292
"MORFEE MOUNTAIN","4A16",1427,"4/29/2013",200,896,NA,110,45,"May_1",812
"MOUNT SHEBA","4A18",1480,"4/29/2013",255,1054,NA,118,41,"May_1",891
"MONKMAN CREEK","4A20",1566,"4/29/2013",NA,NA,"N",NA,NA,"May_1",NA
"HUDSON BAY MTN.","4B03A",1452,"4/29/2013",124,448,NA,88,36,"May_1",509
"CHAPMAN LAKE","4B04",1485,"4/29/2013",126,458,NA,97,36,"May_1",473
"MCKENDRICK CREEK","4B07",1048,"4/29/2013",76,257,NA,115,34,"May_1",223
"MOUNT CRONIN","4B08",1491,"4/29/2013",158,580,NA,94,37,"May_1",616
"KAZA LAKE","1A12",1247,"4/30/2013",103,363,NA,111,35,"May_1",328
"DEADMAN RIVER","1C32",1463,"4/30/2013",24,60,NA,188,25,"May_1",32
"GRANITE MOUNTAIN","1C33A",1175,"4/30/2013",32,114,NA,128,36,"May_1",89
"ENDERBY","1F04",1948,"4/30/2013",314,1381,NA,128,44,"May_1",1079
"FERNIE EAST","2C07",1213,"4/30/2013",20,81,NA,60,41,"May_1",136
"FERGUSON","2D02",929,"4/30/2013",86,385,NA,90,45,"May_1",429
"SANDON","2D03",1072,"4/30/2013",8,31,NA,69,39,"May_1",45
"CHAR CREEK","2D06",1290,"4/30/2013",105,424,NA,94,40,"May_1",449
"SUMMERLAND RESERVOIR","2F02",1304,"4/30/2013",7,30,NA,23,43,"May_1",129
"MCCULLOCH","2F03",1266,"4/30/2013",0,0,"T",0,NA,"May_1",12
"POSTILL LAKE","2F07",1358,"4/30/2013",44,150,NA,124,34,"May_1",121
"MISSEZULA MOUNTAIN","2G05",1602,"4/30/2013",67,178,NA,175,27,"May_1",102
"LIGHTNING LAKE","3D02",1254,"4/30/2013",67,249,NA,112,37,"May_1",223
"GERMANSEN (UPPER)","4A05",1489,"4/30/2013",119,371,NA,105,31,"May_1",355
"TUTIZZI LAKE","4A06",1043,"4/30/2013",55,189,NA,122,34,"May_1",155
"FREDRICKSON LAKE","4A10",1323,"4/30/2013",73,163,NA,71,22,"May_1",231
"TRYGVE LAKE","4A11",1409,"4/30/2013",114,372,NA,98,33,"May_1",381
"TSAYDAYCHI LAKE","4A12",1173,"4/30/2013",107,368,NA,95,34,"May_1",386
"PHILIP LAKE","4A13",1013,"4/30/2013",76,276,NA,141,36,"May_1",196
"JOHANSON LAKE","4B02",1480,"4/30/2013",95,287,NA,95,30,"May_1",301
"EQUITY MINE","4B14",1434,"4/30/2013",117,390,NA,105,33,"May_1",373
"LU LAKE","4B15",1296,"4/30/2013",91,248,NA,93,27,"May_1",267
"MONASHEE PASS","2E01",1387,"5/1/2013",66,258,NA,97,39,"May_1",266
"BURNS LAKE","1A16",820,"5/1/2013",10,26,NA,100,26,"May_1",26
"BIRD CREEK","1A23",1196,"5/1/2013",0,0,NA,0,NA,"May_1",39
"MOUNT WELLS","1B01",1489,"5/1/2013",126,471,NA,97,37,"May_1",487
"TAHTSA LAKE","1B02",1319,"5/1/2013",221,957,NA,76,43,"May_1",1256
"SKINS LAKE","1B05",877,"5/1/2013",0,0,NA,0,NA,"May_1",3
"MOUNT SWANNELL","1B06",1596,"5/1/2013",98,303,NA,106,31,"May_1",287
"NUTLI LAKE","1B07",1502,"5/1/2013",94,294,NA,57,31,"May_1",513
"PAVILION","1C06",1209,"5/1/2013",0,0,NA,0,NA,"May_1",0
"PENFOLD CREEK","1C23",1687,"5/1/2013",274,1170,NA,110,43,"May_1",1064
"KICKING HORSE","2A07",1648,"5/1/2013",77,270,NA,91,35,"May_1",296
"FARRON","2B02A",1229,"5/1/2013",31,135,NA,74,44,"May_1",183
"WHATSHAN (UPPER)","2B05",1476,"5/1/2013",125,558,NA,100,45,"May_1",557
"BARNES CREEK","2B06",1598,"5/1/2013",126,617,NA,131,49,"May_1",470
"KOCH CREEK","2B07",1813,"5/1/2013",202,906,NA,116,45,"May_1",778
"ST. LEON CREEK","2B08",1828,"5/1/2013",311,1304,NA,103,42,"May_1",1267
"SINCLAIR PASS","2C01",1374,"5/1/2013",0,0,NA,0,NA,"May_1",37
"GREYBACK RESERVOIR","2F08",1548,"5/1/2013",66,206,NA,130,31,"May_1",158
"ISINTOK LAKE","2F11",1651,"5/1/2013",46,146,NA,149,32,"May_1",98
"OYAMA LAKE","2F19",1365,"5/1/2013",13,44,NA,80,34,"May_1",55
"VASEUX CREEK","2F20",1403,"5/1/2013",0,0,NA,0,NA,"May_1",41
"ISLAHT LAKE","2F24",1492,"5/1/2013",67,364,NA,156,54,"May_1",234
"LOST HORSE MOUNTAIN","2G04",1988,"5/1/2013",99,303,NA,141,31,"May_1",215
"PALISADE LAKE","3A09",898,"5/1/2013",267,1480,NA,115,55,"May_1",1291
"ORCHID LAKE","3A19",1178,"5/1/2013",369,2000,NA,107,54,"May_1",1866
"WARE (UPPER)","4A03",1563,"5/1/2013",101,288,NA,105,29,"May_1",274
"WARE (LOWER)","4A04",969,"5/1/2013",53,140,"A",113,26,"May_1",124
"LADY LAURIER LAKE","4A07",1446,"5/1/2013",151,491,NA,88,33,"May_1",555
"PULPIT LAKE","4A09",1331,"5/1/2013",136,486,NA,116,36,"May_1",418
"MOUNT STEARNS","4A21",1514,"5/1/2013",71,142,"A",97,20,"May_1",146
"KIDPRICE LAKE","4B01",1415,"5/1/2013",175,726,NA,76,41,"May_1",951
"SIKANNI LAKE","4C01",1390,"5/1/2013",93,262,"A",98,28,"May_1",266
"SUMMIT LAKE","4C02",1291,"5/1/2013",48,106,NA,241,22,"May_1",44
"ATLIN LAKE","4E02B",NA,"5/1/2013",60,126,NA,NA,21,"May_1",NA
"BROOKMERE","1C01",994,"5/2/2013",19,66,NA,102,35,"May_1",65
"FORBIDDEN PLATEAU","3B01",1110,"5/2/2013",255,1431,NA,95,56,"May_1",1507
"ELK RIVER","3B04",270,"5/2/2013",0,0,NA,0,NA,"May_1",0
"UPPER THELWOOD LAKE","3B10",1014,"5/2/2013",298,1500,NA,101,50,"May_1",1484
"WOLF RIVER (MIDDLE)","3B18",1050,"5/2/2013",105,504,NA,92,48,"May_1",546
"WOLF RIVER (LOWER)","3B19",615,"5/2/2013",0,0,NA,0,NA,"May_1",134
"SHOVELNOSE MOUNTAIN","1C29",1456,"5/5/2013",20,85,NA,104,43,"May_1",82
"RECORD MOUNTAIN","2B09",1906,"5/5/2013",164,865,NA,119,53,"May_1",727
"WEDEENE RIVER SOUTH","3C07",196,"5/6/2013",10,42,NA,31,42,"May_1",136
"TERRACE AIRPORT","4B13A",219,"5/6/2013",0,0,NA,0,NA,"May_1",14
"TELEGRAPH CREEK","4D01",490,"5/7/2013",0,0,NA,0,NA,"May_1",23
"TROPHY MOUNTAIN","1E03A",1907,"5/11/2013",139,637,NA,103,46,"May_15",618
"WHITEROCKS MOUNTAIN","2F09",1789,"5/11/2013",94,439,NA,123,47,"May_15",357
"ESPERON CR (UPPER)","2F13",1634,"5/11/2013",70,310,NA,101,44,"May_15",306
"ESPERON CR (MIDDLE)","2F14",1440,"5/11/2013",31,128,NA,78,41,"May_15",164
"ADAMS RIVER","1E07",1769,"5/12/2013",134,684,NA,99,51,"May_15",690
"FERNIE EAST","2C07",1213,"5/12/2013",0,0,NA,0,NA,"May_15",34
"GREYBACK RESERVOIR","2F08",1548,"5/13/2013",0,0,"T",0,NA,"May_15",79
"FARRON","2B02A",1229,"5/14/2013",0,0,NA,0,NA,"May_15",63
"MOUNT KOBAU","2F12",1817,"5/14/2013",69,379,NA,150,55,"May_15",253
"HUDSON BAY MTN.","4B03A",1452,"5/14/2013",65,274,NA,65,42,"May_15",424
"BIG WHITE MOUNTAIN","2E03",1672,"5/15/2013",67,297,NA,81,44,"May_15",366
"PENFOLD CREEK","1C23",1687,"5/15/2013",216,1078,NA,105,50,"May_15",1022
"ENDERBY","1F04",1948,"5/15/2013",238,1183,NA,110,50,"May_15",1072
"SULLIVAN MINE","2C04",1580,"5/15/2013",0,0,"T",0,NA,"May_15",80
"CHAR CREEK","2D06",1290,"5/15/2013",48,212,NA,78,44,"May_15",272
"TROUT CREEK","2F01",1428,"5/15/2013",0,0,NA,0,NA,"May_15",11
"TROUT CREEK (WEST)","2F01A",1430,"5/15/2013",0,0,"T",0,NA,"May_15",58
"SUMMERLAND RESERVOIR","2F02",1304,"5/15/2013",0,0,NA,0,NA,"May_15",13
"ISINTOK LAKE","2F11",1651,"5/15/2013",0,0,NA,0,NA,"May_15",46
"LOST HORSE MOUNTAIN","2G04",1988,"5/15/2013",28,92,NA,54,33,"May_15",169
"MISSEZULA MOUNTAIN","2G05",1602,"5/15/2013",0,0,NA,0,NA,"May_15",32
"DOG MOUNTAIN","3A10",1007,"5/15/2013",189,1180,NA,113,62,"May_15",1041
"ORCHID LAKE","3A19",1178,"5/15/2013",NA,NA,"N",NA,NA,"May_15",NA
"SILVER STAR MOUNTAIN","2F10",1834,"5/16/2013",139,724,NA,109,52,"May_15",665
"ISLAHT LAKE","2F24",1492,"5/16/2013",0,0,"T",0,NA,"May_15",221
"HAMILTON HILL","2G06",1477,"5/16/2013",0,0,NA,0,NA,"May_15",110
"RECORD MOUNTAIN","2B09",1906,"5/18/2013",80,366,NA,57,46,"May_15",645
"WHITEROCKS MOUNTAIN","2F09",1789,"5/26/2013",54,255,NA,199,47,"June_1",128
"ESPERON CR (UPPER)","2F13",1634,"5/26/2013",39,176,NA,102,45,"June_1",173
"ESPERON CR (MIDDLE)","2F14",1440,"5/26/2013",0,0,NA,0,NA,"June_1",27
"CALLAGHAN CREEK","3A20",1009,"5/28/2013",17,80,NA,34,47,"June_1",233
"DOG MOUNTAIN","3A10",1007,"5/29/2013",146,895,NA,125,61,"June_1",714
